scan,coarse_processing_time,coarse_rank,coarse_cum_error,fine_processing_time,fine_rank,fine_fitness,fine_rmse,fine_nb_inliers_correspondence_set
792430.ply,0.0733799934387207,1.0,0.26256530906656195,23.773740768432617,1.0,0.969,0.01037060207545043,448
792440.ply,0.1333925724029541,9.0,0.652199777078407,28.1552472114563,2.0,0.959,0.007508247118316594,404
792441.ply,0.0776216983795166,12.0,0.6933266813831301,31.426307439804077,1.0,0.9623333333333334,0.0074361320232140754,633
792510.ply,0.09861421585083008,2.0,0.6433248122142878,3.6265761852264404,2.0,1.0,0.0018610769485667643,1754
792783.ply,0.07356572151184082,3.0,0.6073254550982116,2.6177453994750977,2.0,1.0,0.0026284941151345164,1959
792803.ply,0.12810754776000977,11.0,0.5257161523368816,38.31568908691406,2.0,1.0,0.006908834922857105,621
792937.ply,0.11037373542785645,1.0,0.20422346787377457,14.542219638824463,1.0,0.8793333333333333,0.0075407675144353705,733
793405.ply,0.07073283195495605,3.0,0.8224658278437192,1.4821069240570068,1.0,1.0,0.002455557019758354,2904
793426.ply,0.0734717845916748,11.0,0.5774910103710295,24.505351066589355,3.0,0.9786666666666667,0.007197284181883703,959
793548.ply,0.07406163215637207,1.0,0.23778937079028323,31.64520525932312,1.0,0.9996666666666667,0.007231577667672751,407
793646.ply,0.0750570297241211,1.0,0.43137786742250084,9.157816171646118,2.0,0.973,0.008965622063170206,482
793689.ply,0.1093294620513916,1.0,0.44367166292246757,2.1172139644622803,1.0,1.0,0.001933677551787422,2805
793768.ply,0.08051705360412598,1.0,0.4603346141612995,3.3343632221221924,1.0,1.0,0.001985932106396528,2097
793787.ply,0.07352733612060547,11.0,1.2005481131520792,2.219416618347168,,,,1090
793789.ply,0.07358169555664062,7.0,0.927039171955106,5.137677192687988,4.0,1.0,0.001576542010031958,2088
793791.ply,0.07360625267028809,3.0,1.0523014469950416,1.1275019645690918,,,,2181
793793.ply,0.07124996185302734,1.0,0.11232814577443874,22.799017429351807,1.0,0.9743333333333334,0.007900798005508842,657
793796.ply,0.07346510887145996,5.0,0.3673589175964429,37.03397464752197,1.0,0.9626666666666667,0.009389759185321917,641
793832.ply,0.11595797538757324,5.0,0.4603835868318022,33.807889461517334,2.0,0.8156666666666667,0.010091441034485416,520
793975.ply,0.0734567642211914,8.0,0.5629068636834114,14.58205270767212,1.0,0.9766666666666667,0.009946002204743924,268
793978.ply,0.07414603233337402,8.0,0.5001884424486105,16.19516086578369,1.0,0.9586666666666667,0.01024463635558237,389
793981.ply,0.07528567314147949,9.0,0.6573639929259562,13.72217845916748,1.0,0.911,0.010433946462083564,443
793982.ply,0.09421586990356445,7.0,0.4591250635656114,12.70545768737793,2.0,0.9183333333333333,0.010136458218675965,811
793997.ply,0.09109139442443848,13.0,0.8582305546172421,15.995160818099976,6.0,0.8816666666666667,0.010032432394557422,669
793998.ply,0.07407593727111816,3.0,0.6151210999393912,7.227083206176758,2.0,0.8903333333333333,0.00926337067390064,1001
793999.ply,0.08012008666992188,14.0,0.827293891544372,20.987061738967896,2.0,0.8726666666666667,0.01000358065040595,348
794008.ply,0.08431410789489746,39.0,0.9060680048265944,31.16189932823181,4.0,0.8983333333333333,0.008377689616897745,589
794262.ply,0.08256959915161133,1.0,0.26318529670562624,23.15807795524597,1.0,0.9956666666666667,0.007732956499472259,760
794273.ply,0.08544278144836426,61.0,1.3240590544572888,18.1629319190979,,,,934
794515.ply,0.13131380081176758,4.0,0.6704410537201386,9.717265129089355,3.0,0.8726666666666667,0.010473415956430929,1075
794516.ply,0.07755064964294434,1.0,0.18857795184623638,20.116031169891357,1.0,0.975,0.009005422963794384,637
794601.ply,0.08787918090820312,5.0,0.8306855047542566,4.913781404495239,2.0,1.0,0.0013101504223675187,1919
794679.ply,0.07449674606323242,11.0,1.007517380531698,5.275250434875488,,,,1748
794863.ply,0.08134055137634277,2.0,0.1210682468585534,22.06726861000061,2.0,0.835,0.011705360185808615,394
